,Unnamed: 0,Unnamed: 0.1,num_not_judged,prob_not_judged,n,N,n/N
327,327,327.0,0,0.0,0.0,0.0,0.0
328,328,328.0,0,0.0,0.0,0.0,0.0
329,329,329.0,0,0.0,0.0,0.0,0.0
330,330,330.0,0,0.0,0.0,0.0,0.0
331,331,331.0,0,0.0,0.0,0.0,0.0
332,332,332.0,0,0.0,0.0,0.0,0.0
333,333,333.0,0,0.0,0.0,0.0,0.0
334,334,334.0,0,0.0,0.0,0.0,0.0
335,335,335.0,0,0.0,0.0,0.0,0.0
336,336,336.0,0,0.0,0.0,0.0,0.0
337,337,337.0,0,0.0,0.0,0.0,0.0
338,338,338.0,0,0.0,1.0,1.0,1.0
339,339,339.0,1,0.032258064516129,0.0,0.0,0.0
340,340,340.0,0,0.0,1.0,1.0,1.0
341,341,341.0,0,0.0,1.0,1.0,1.0
342,342,342.0,0,0.0,0.0,0.0,0.0
343,343,343.0,0,0.0,0.0,0.0,0.0
344,344,344.0,0,0.0,0.0,0.0,0.0
345,345,345.0,0,0.0,0.0,0.0,0.0
346,346,346.0,0,0.0,0.0,0.0,0.0
347,347,347.0,0,0.0,0.0,0.0,0.0
348,348,348.0,0,0.0,0.0,0.0,0.0
349,349,349.0,0,0.0,0.0,0.0,0.0
350,350,350.0,0,0.0,0.0,0.0,0.0
351,351,351.0,0,0.0,0.0,0.0,0.0
352,352,352.0,0,0.0,0.0,0.0,0.0
353,353,353.0,0,0.0,0.0,0.0,0.0
354,354,354.0,0,0.0,0.0,0.0,0.0
355,355,355.0,0,0.0,0.0,0.0,0.0
356,356,356.0,0,0.0,0.0,0.0,0.0
357,357,357.0,0,0.0,0.0,0.0,0.0
358,358,358.0,0,0.0,0.0,0.0,0.0
359,359,359.0,0,0.0,0.0,0.0,0.0
360,360,360.0,0,0.0,0.0,0.0,0.0
361,361,361.0,0,0.0,0.0,0.0,0.0
362,362,362.0,0,0.0,0.0,0.0,0.0
363,363,363.0,0,0.0,0.0,0.0,0.0
364,364,364.0,0,0.0,0.0,0.0,0.0
365,365,365.0,0,0.0,1.0,1.0,1.0
366,366,366.0,0,0.0,0.0,0.0,0.0
367,367,367.0,0,0.0,0.0,0.0,0.0
368,368,368.0,0,0.0,0.0,0.0,0.0
369,369,369.0,0,0.0,0.0,0.0,0.0
370,370,370.0,0,0.0,1.0,1.0,1.0
371,371,371.0,0,0.0,1.0,1.0,1.0
372,372,372.0,0,0.0,1.0,1.0,1.0
373,373,373.0,0,0.0,1.0,1.0,1.0
374,374,374.0,0,0.0,1.0,1.0,1.0
375,375,375.0,0,0.0,1.0,1.0,1.0
376,376,376.0,2,0.0317460317460317,1.0,1.0,1.0
377,377,377.0,0,0.0,1.0,1.0,1.0
378,378,378.0,0,0.0,1.0,1.0,1.0
379,379,379.0,1,0.0147058823529411,1.0,1.0,1.0
380,380,380.0,1,0.0119047619047619,1.0,1.0,1.0
381,381,381.0,2,0.0238095238095238,1.0,1.0,1.0
382,382,382.0,1,0.0119047619047619,1.0,1.0,1.0
383,383,383.0,1,0.0119047619047619,1.0,1.0,1.0
384,384,384.0,2,0.0210526315789473,1.0,1.0,1.0
385,385,385.0,1,0.0105263157894736,1.0,1.0,1.0
386,386,386.0,1,0.0079365079365079,1.0,1.0,1.0
387,387,387.0,1,0.0079365079365079,1.0,1.0,1.0
388,388,388.0,2,0.0153846153846153,1.0,1.0,1.0
389,389,389.0,1,0.0076923076923076,1.0,1.0,1.0
390,390,390.0,1,0.008,1.0,1.0,1.0
391,391,391.0,1,0.008,1.0,1.0,1.0
392,392,392.0,2,0.016,1.0,1.0,1.0
393,393,393.0,2,0.016,1.0,1.0,1.0
394,394,394.0,2,0.0158730158730158,1.0,1.0,1.0
395,395,395.0,1,0.0079365079365079,1.0,1.0,1.0
396,396,396.0,1,0.0078740157480314,1.0,1.0,1.0
